评论,实体类型-实体-情感,,,,
像素太低了，分辨率太低，哪里和高清沾边？不满意,摄像头属性-像素-差,屏幕属性-分辨率-差,,,
数据线有问题，充不上电，强烈怀疑是不是原装出厂的！,硬件-数据线-差,,,,
充电温度太高，赠送的东西也没有，包装很差，买来就只剩10g内存。不建议大家购买，买来就后悔死了,电池属性-充电温度-差,服务-包装-差,硬件-内存-差,,
电池太不经用，一天不到就没有电，一次差劲的购物,硬件-电池-差,,,,
屏幕清晰度不高，而且运行速度巨慢,硬件-屏幕-差,系统属性-运行速度-差,,,
分辨率太低，字太模糊了。实在太烂，拆了包装不知道能不能退，实在受不了。浪费一千多。看视频也很模糊。,屏幕属性-分辨率-差,,,,
触屏不灵敏，系统不流畅，简直是垃圾中的垃圾。,屏幕属性-触屏-差,软件-系统-差,,,
打电话时声音有噪音，也没手电筒，没耳机，充电也好慢,硬件-声音-差,硬件-手电筒-差,配件-耳机-差,电池属性-充电-差,
刚刚买到第二天就降价了，找客服都没人理,价格-降价-差,服务-客服-差,,,
分辨率超级低，还用这么大一个屏幕，也不知道高配在哪里了，真心不推荐买！,屏幕属性-分辨率-差,硬件-屏幕-差,,,
画质不是很清楚，而且连个耳机都没有，连最低标准都不给吗？我也是醉了,屏幕属性-画质-差,配件-耳机-差,,,
电池太不耐用了，分辨率低,硬件-电池-差,屏幕属性-分辨率-差,,,
很遗憾包装很不好，感觉有人拆开过！希望手机是正品的。,服务-包装-差,,,,
电池续航极差，今天第一天用，充了2.5次电才坚持下来,硬件-电池-差,电池属性-续航-差,,,
信号很不好，真对不起这2488的价格。,网络与连接-信号-差,价格-价格-差,,,
分辨率实在是太低了。,屏幕属性-分辨率-差,,,,
不知道是什么原因，摄像头拍不清楚，通话语音也声音也很小！,硬件-摄像头-差,硬件-声音-差,,,
画质不好，容易闪退，信号不好,屏幕属性-画质-差,网络与连接-信号-差,,,
屏幕分辨率太差，运行速度太慢，卡顿,硬件-屏幕-差,屏幕属性-分辨率-差,系统属性-运行速度-差,系统属性-卡顿-差,
不好，反应迟钝，电池也不行，手机屏幕刺眼，不值,系统属性-反应-差,硬件-电池-差,硬件-屏幕-差,,
刚买就降价 还不让申请价格保护！,价格-降价-差,,,,
物流慢，啥都没有送，连贴膜都没有,服务-物流-差,配件-贴膜-差,,,
拍照很模糊，包装不满意，连发票都没有,硬件-拍照-差,服务-包装-差,,,
摄像头像素太低，照片根本看不清楚！,硬件-摄像头-差,摄像头属性-像素-差,摄像头属性-照片-差,,
系统渣渣，不如买小米。,软件-系统-差,,,,
分辨率一般，反应速度迟钝，声音有点沙哑。,屏幕属性-分辨率-差,系统属性-反应速度-差,硬件-声音-差,,
很失望，32G手机内存打开一看只有23G，为什么！,硬件-内存-差,,,,
不满意，手机运行速度好慢,系统属性-运行速度-差,,,,
垃圾货刚买回来用了一天就有卡顿的现象,系统属性-卡顿-差,,,,
这手机太差劲了，电池不耐用，通话信号差,硬件-电池-差,网络与连接-通话信号-差,,,
分辨率太差了，屏幕触屏太不灵敏了，充电时间太久了！,屏幕属性-分辨率-差,硬件-屏幕-差,屏幕属性-触屏-差,电池属性-充电时间-差,
屏幕亮度有时老闪，一会亮一会暗，怎么回事啊,硬件-屏幕-差,屏幕属性-亮度-差,,,
连上网但是咋也上不去网，玩手机没事，老是提示信号差，连接不给力，不知道是不是需要调换,网络与连接-信号-差,网络与连接-连接-差,,,
系统运行卡的要死，其他都还行,软件-系统-差,系统属性-运行-差,,,
网络信号太差劲了，经常没有网络上网，卡得要死，还不如我的三星呢,网络与连接-网络信号-差,,,,
这款分辨率低，像素不好，买的时候忘记看了！有点后悔！,屏幕属性-分辨率-差,摄像头属性-像素-差,,,
垃圾分辨率，买者慎重。比5年前国产手机的分辨率不向上下！,屏幕属性-分辨率-差,,,,
不好，反应慢，屏幕不清晰,系统属性-反应-差,硬件-屏幕-差,,,
屏幕分辨率相当低不值,屏幕属性-分辨率-差,,,,
分辨率太差，图片模糊。照相更模糊，根本就没法照，千万不要买，不值。,屏幕属性-分辨率-差,摄像头属性-照相-差,,,
声音太小了，打电话的时候声音，这个是给爸爸买的，不是特别满意，将就着用，其他的还是蛮不错的，我是789买的。,硬件-声音-差,,,,
买了两天，出现卡顿现象,系统属性-卡顿-差,,,,
客服太差，这个活动很坑，大家千万小心购买。,服务-客服-差,,,,
待机太差，充满还没用，百分之二的电就没了，一天时间要冲两次电！,电池属性-待机-差,,,,
电池太垃圾了，充满电光待机都撑不到一天，客服还不给解决,硬件-电池-差,电池属性-待机-差,服务-客服-差,,
内存凭空消失了4个G的内存，说好的16个G都没有,硬件-内存-差,,,,
128g的才有耳机，64g是性价比最低的版本，买错了。,价格-性价比-差,,,,
配置马马虎虎，经常出现卡顿，电池不耐用，两天充五次电，与官方宣传差太远了,系统属性-卡顿-差,硬件-电池-差,,,
太差，骗子，像素太差了！,摄像头属性-像素-差,,,,
充电慢，耗电快，充电口有点松插不紧，轻轻碰线插头就掉出来,电池属性-充电-差,电池属性-耗电-差,硬件-充电口-差,,
我发现这款触屏确实不大好。,屏幕属性-触屏-差,,,,
"蓝牙做得很差，和车载不兼容，连烂到掉渣的天语都没这问题。",网络与连接-蓝牙-差,,,,
屏幕失灵，失望，自己修。,硬件-屏幕-差,,,,
耗电快，一天两三次充电，有点后悔。,电池属性-耗电-差,,,,
刚买就降价，不开心。,价格-降价-差,,,,
屏幕色彩有点不对，很晕，看电影不好,硬件-屏幕-差,屏幕属性-色彩-差,,,
东西不是很好，物流太慢了,服务-物流-差,,,,
像素太差，特别是录像太模糊都看不清人,摄像头属性-像素-差,摄像头属性-录像-差,,,
屏幕分辨率不是很理想，画面模糊，色彩奇怪,硬件-屏幕-差,屏幕属性-分辨率-差,屏幕属性-画面-差,屏幕属性-色彩-差,
差评，分辨率太低了，反应速度也一般般,屏幕属性-分辨率-差,系统属性-反应速度-差,,,
信号太差基本只有2格,网络与连接-信号-差,,,,
屏幕一般，外壳像纸皮，没有发票？,硬件-屏幕-差,外观-外壳-差,,,
机身重量偏重不喜欢，反应速度一般般，日常使用还行吧，性价比不太高。,外观-机身-差,系统属性-反应速度-中性,价格-性价比-差,,
不玩游戏使用者还可以，机身是塑料后壳设计太显得真个手机都有廉价感。,外观-机身-差,,,,
华为这个品牌本来口碑还挺好的，但我买这个手机感觉很不行左边的那个播放器没声音，然后买手机的也不贴个保护膜，也不加说明。,硬件-播放器-差,配件-保护膜-差,,,
待机时间一般般，电池容量不够大，还需提升,电池属性-待机时间-中性,硬件-电池-差,电池属性-电池容量-差,,
充电的时候手机很烫，玩游戏还没充电烫，曲面屏好像可以设置，屏幕颜色也可以，万象息屏很好阿看但是也费电。 ,电池属性-充电-差,硬件-屏幕-中性,屏幕属性-屏幕-中性,,
机身重量比我原来的手机要重一些，但是感觉也还行,外观属性-机身重量-中性,,,,
拍照效果很清晰，但是感觉照片有点颜色误差。,摄像头属性-拍照效果-好,摄像头属性-照片-中性,,,
电池续航中规中矩吧，平时刷刷手机但不玩游戏的话可以大半天天吧,硬件-电池-中性,电池属性-电池续航-中性,,,
外观整体看一般般，也还行吧，手感摸着也一般，都可以接受。 ,外观-外观-中性,外观属性-手感-中性,,,
拍照效果也还行，电池续航也就正常水平,硬件-摄像头-中性,摄像头属性-拍照效果-中性,硬件-电池-中性,电池属性-电池续航-中性,
通信音质不清晰有杂音，听音乐音质也不行 ,硬件-通话音质-差,硬件-听音乐音质-差,,,
运行速度刚开始还行，用了几天就卡了,系统属性-运行速度-中性,,,,
屏幕显示效果一般，画面不是特别好看,屏幕属性-显示效果-中性,屏幕属性-画面-差,,,
拍照还行像素也中规中矩，录像有点不大清晰,硬件-拍照-中性,摄像头属性-像素-中性,摄像头属性-录像-差,,
两个喇叭，声音挺大，但不大好听。,硬件-喇叭-中性,硬件-声音-中性,,,
续航能力还可以吧，但是充电速度太慢了。,电池属性-续航能力-中性,电池属性-充电速度-差,,,
触屏不灵敏，指纹解锁失灵。,屏幕属性-触屏-差,功能-指纹解锁-差,,,
